pertSize,reactionTime,initialResponse,subID,blockNo,prevSize,leftResponse,rightResponse,noResponse,nullTrials,correctResponses,incorrectResponses
100,1.71800297773007,-1,1,1,0,1,0,0,0,1,0
25,1.96100334369839,-1,1,1,100,1,0,0,0,1,0
-50,2.39700555062154,1,1,1,25,0,1,0,0,1,0
-200,3.37199899220286,1,1,1,-50,0,1,0,0,1,0
150,2.36499947941047,-1,1,1,-200,1,0,0,0,1,0
300,1.64000389027206,-1,1,1,150,1,0,0,0,1,0
-25,2.22700326394988,1,1,1,300,0,1,0,0,1,0
0,2.8719995156498,-1,1,1,-25,1,0,0,1,0,0
-300,0.0220067653644946,1,1,1,0,0,1,0,0,1,0
50,2.88800548732252,-1,1,1,-300,1,0,0,0,1,0
-100,0.900999764919106,1,1,1,50,0,1,0,0,1,0
0,4.41000174760848,-1,1,1,-100,1,0,0,1,0,0
200,1.6060061297394,-1,1,1,0,1,0,0,0,1,0
-150,1.17899811649113,1,1,1,200,0,1,0,0,1,0
-100,2.30800032901607,1,1,1,-150,0,1,0,0,1,0
-25,4.7150047413088,1,1,1,-100,0,1,0,0,1,0
50,3.20100590407674,-1,1,1,-25,1,0,0,0,1,0
200,1.69999963366718,-1,1,1,50,1,0,0,0,1,0
-150,1.2420009169582,1,1,1,200,0,1,0,0,1,0
-300,1.1909977685209,1,1,1,-150,0,1,0,0,1,0
25,4.16100366925821,1,1,1,-300,0,1,0,0,0,1
0,6.07400168835738,1,1,1,25,0,1,0,1,0,0
300,1.52700686096796,-1,1,1,0,1,0,0,0,1,0
-50,3.67000080501748,1,1,1,300,0,1,0,0,1,0
100,1.7610014996535,-1,1,1,-50,1,0,0,0,1,0
0,4.95200696241955,1,1,1,100,0,1,0,1,0,0
-200,1.18899974524538,1,1,1,0,0,1,0,0,1,0
150,2.934004652976,-1,1,1,-200,1,0,0,0,1,0
-150,2.38299867761089,1,1,1,150,0,1,0,0,1,0
200,0.760002262948547,-1,1,1,-150,1,0,0,0,1,0
0,4.61500069689646,1,1,1,200,0,1,0,1,0,0
-100,2.32500022053864,1,1,1,0,0,1,0,0,1,0
50,2.97100659990247,-1,1,1,-100,1,0,0,0,1,0
-300,0.753003682017152,1,1,1,50,0,1,0,0,1,0
0,4.32099777042458,-1,1,1,-300,1,0,0,1,0,0
-25,7.75900467121392,-1,1,1,0,1,0,0,0,0,1
300,0.902003692390281,-1,1,1,-25,1,0,0,0,1,0
150,2.75100073456997,-1,1,1,300,1,0,0,0,1,0
-200,0.968006317139952,1,1,1,150,0,1,0,0,1,0
-50,2.1910052289968,1,1,1,-200,0,1,0,0,1,0
25,3.14999989974604,-1,1,1,-50,1,0,0,0,1,0
100,2.7079987310135,-1,1,1,25,1,0,0,0,1,0
150,1.67600317132747,-1,1,1,100,1,0,0,0,1,0
-200,0.372000057221157,1,1,1,150,0,1,0,0,1,0
0,7.7530063118902,1,1,1,-200,0,1,0,1,0,0
100,0.874004421355494,-1,1,1,0,1,0,0,0,1,0
-50,3.10400656521233,-1,1,1,100,1,0,0,0,0,1
300,0.88299975800328,-1,1,1,-50,1,0,0,0,1,0
0,3.40899877429183,-1,1,1,300,1,0,0,1,0,0
25,3.29199945842993,-1,1,1,0,1,0,0,0,1,0
-300,0.0450013184527052,1,1,1,25,0,1,0,0,1,0
-150,0.97300748967973,1,1,1,-300,0,1,0,0,1,0
200,0.968000791785016,-1,1,1,-150,1,0,0,0,1,0
50,3.25200564205443,-1,1,1,200,1,0,0,0,1,0
-25,6.9490018552533,1,1,1,50,0,1,0,0,1,0
-100,2.32099845314224,1,1,1,-25,0,1,0,0,1,0
100,2.83799371063651,-1,1,2,0,1,0,0,0,1,0
25,6.16799610400631,1,1,2,100,0,1,0,0,0,1
-50,3.48299435854278,1,1,2,25,0,1,0,0,1,0
-200,1.7810000336176,1,1,2,-50,0,1,0,0,1,0
150,1.6719913917841,-1,1,2,-200,1,0,0,0,1,0
300,1.30199175775488,-1,1,2,150,1,0,0,0,1,0
-25,3.77999638307665,1,1,2,300,0,1,0,0,1,0
0,7.06899874770897,1,1,2,-25,0,1,0,1,0,0
-300,0.0139945368791814,1,1,2,0,0,1,0,0,1,0
50,2.89099810051994,-1,1,2,-300,1,0,0,0,1,0
-100,1.04799139142415,1,1,2,50,0,1,0,0,1,0
0,5.70400088227325,-1,1,2,-100,1,0,0,1,0,0
200,0.858993365174683,-1,1,2,0,1,0,0,0,1,0
-150,2.43400104868488,1,1,2,200,0,1,0,0,1,0
-100,3.56699706423387,1,1,2,-150,0,1,0,0,1,0
-25,4.44299589622096,1,1,2,-100,0,1,0,0,1,0
50,3.55099503374367,-1,1,2,-25,1,0,0,0,1,0
200,1.05800109494157,-1,1,2,50,1,0,0,0,1,0
-150,2.50999955690349,1,1,2,200,0,1,0,0,1,0
-300,1.87300098455307,1,1,2,-150,0,1,0,0,1,0
25,5.41199862241774,-1,1,2,-300,1,0,0,0,1,0
0,8.25199705219711,-1,1,2,25,1,0,0,1,0,0
300,0.830992610812245,-1,1,2,0,1,0,0,0,1,0
-50,8.08299677646573,1,1,2,300,0,1,0,0,1,0
100,1.94900045502436,-1,1,2,-50,1,0,0,0,1,0
0,4.24199970257905,-1,1,2,100,1,0,0,1,0,0
-200,0.634993905187002,1,1,2,0,0,1,0,0,1,0
150,NaN,NaN,1,2,-200,0,0,1,0,0,0
-150,2.34299188244768,1,1,2,150,0,1,0,0,1,0
200,1.48899884975253,-1,1,2,-150,1,0,0,0,1,0
0,4.22199144971819,-1,1,2,200,1,0,0,1,0,0
-100,1.88099645555485,1,1,2,0,0,1,0,0,1,0
50,4.50899619365373,1,1,2,-100,0,1,0,0,0,1
-300,0.922998734837165,1,1,2,50,0,1,0,0,1,0
0,5.46900124311651,-1,1,2,-300,1,0,0,1,0,0
-25,4.04299861539039,1,1,2,0,0,1,0,0,1,0
300,0.788994243383058,-1,1,2,-25,1,0,0,0,1,0
150,2.92000005722366,-1,1,2,300,1,0,0,0,1,0
-200,0.750994063615508,1,1,2,150,0,1,0,0,1,0
-50,3.17299923134124,1,1,2,-200,0,1,0,0,1,0
25,4.94499539757089,-1,1,2,-50,1,0,0,0,1,0
100,4.94099597239983,-1,1,2,25,1,0,0,0,1,0
150,2.23399990463804,-1,1,2,100,1,0,0,0,1,0
-200,1.10299966442835,1,1,2,150,0,1,0,0,1,0
0,4.10899387967947,-1,1,2,-200,1,0,0,1,0,0
100,2.72699779510731,-1,1,2,0,1,0,0,0,1,0
-50,3.2790011106772,-1,1,2,100,1,0,0,0,0,1
300,0.77500024116307,-1,1,2,-50,1,0,0,0,1,0
0,5.68699723851751,1,1,2,300,0,1,0,1,0,0
25,4.36099909437326,-1,1,2,0,1,0,0,0,1,0
-300,2.41799664461723,1,1,2,25,0,1,0,0,1,0
-150,2.39599432730756,1,1,2,-300,0,1,0,0,1,0
200,2.05099223494472,-1,1,2,-150,1,0,0,0,1,0
50,2.64399428629986,-1,1,2,200,1,0,0,0,1,0
-25,5.3139990686177,-1,1,2,50,1,0,0,0,0,1
-100,1.2219966588018,1,1,2,-25,0,1,0,0,1,0
100,2.05999933719431,-1,1,3,0,1,0,0,0,1,0
25,3.07899688815814,-1,1,3,100,1,0,0,0,1,0
-50,5.76199598085805,1,1,3,25,0,1,0,0,1,0
-200,0.919993940355198,1,1,3,-50,0,1,0,0,1,0
150,0.830997122044209,-1,1,3,-200,1,0,0,0,1,0
300,0.573997891660838,-1,1,3,150,1,0,0,0,1,0
-25,2.42399437462882,1,1,3,300,0,1,0,0,1,0
0,4.37899278545228,-1,1,3,-25,1,0,0,1,0,0
-300,0.742996105909697,1,1,3,0,0,1,0,0,1,0
50,3.03699320626038,-1,1,3,-300,1,0,0,0,1,0
-100,2.66399627935607,1,1,3,50,0,1,0,0,1,0
0,4.33299462711875,-1,1,3,-100,1,0,0,1,0,0
200,2.78000006044022,-1,1,3,0,1,0,0,0,1,0
-150,1.2629978874902,1,1,3,200,0,1,0,0,1,0
-100,1.58999922334624,1,1,3,-150,0,1,0,0,1,0
-25,4.85399931394932,1,1,3,-100,0,1,0,0,1,0
50,4.54099715363554,-1,1,3,-25,1,0,0,0,1,0
200,0.735998656273296,-1,1,3,50,1,0,0,0,1,0
-150,1.17899520790525,1,1,3,200,0,1,0,0,1,0
-300,0.697995238901058,1,1,3,-150,0,1,0,0,1,0
25,2.11299753833009,-1,1,3,-300,1,0,0,0,1,0
0,4.80299222731264,-1,1,3,25,1,0,0,1,0,0
300,2.01999726187933,-1,1,3,0,1,0,0,0,1,0
-50,2.52800046181801,-1,1,3,300,1,0,0,0,0,1
100,3.09099589430843,-1,1,3,-50,1,0,0,0,1,0
0,6.14699493515218,-1,1,3,100,1,0,0,1,0,0
-200,0.690992092248052,1,1,3,0,0,1,0,0,1,0
150,1.09099226760736,-1,1,3,-200,1,0,0,0,1,0
-150,2.32499734842713,1,1,3,150,0,1,0,0,1,0
200,1.62599564850098,-1,1,3,-150,1,0,0,0,1,0
0,3.11199893533922,-1,1,3,200,1,0,0,1,0,0
-100,3.10300020813884,-1,1,3,0,1,0,0,0,0,1
50,3.03899341916986,-1,1,3,-100,1,0,0,0,1,0
-300,0.151992913364666,1,1,3,50,0,1,0,0,1,0
0,7.55499584424251,1,1,3,-300,0,1,0,1,0,0
-25,3.02100069451262,-1,1,3,0,1,0,0,0,0,1
300,0.501997332336032,-1,1,3,-25,1,0,0,0,1,0
150,0.730996717211383,-1,1,3,300,1,0,0,0,1,0
-200,0.796999887701531,1,1,3,150,0,1,0,0,1,0
-50,3.70699163901736,1,1,3,-200,0,1,0,0,1,0
25,7.71500090002519,1,1,3,-50,0,1,0,0,0,1
100,1.71399340045173,-1,1,3,25,1,0,0,0,1,0
150,1.78099392831064,-1,1,3,100,1,0,0,0,1,0
-200,0.992996360182588,1,1,3,150,0,1,0,0,1,0
0,4.70199390553898,1,1,3,-200,0,1,0,1,0,0
100,2.24200033116358,-1,1,3,0,1,0,0,0,1,0
-50,3.46900135588658,1,1,3,100,0,1,0,0,1,0
300,0.610993227004656,-1,1,3,-50,1,0,0,0,1,0
0,4.85299882852996,1,1,3,300,0,1,0,1,0,0
25,3.69899897027062,1,1,3,0,0,1,0,0,0,1
-300,0.089997858282004,1,1,3,25,0,1,0,0,1,0
-150,0.819000192044768,1,1,3,-300,0,1,0,0,1,0
200,0.521993194219249,-1,1,3,-150,1,0,0,0,1,0
50,2.0829987137331,-1,1,3,200,1,0,0,0,1,0
-25,3.52199285399547,1,1,3,50,0,1,0,0,1,0
-100,2.2099964344452,1,1,3,-25,0,1,0,0,1,0
25,8.58800006973615,1,2,1,100,0,1,0,0,0,1
-50,8.08200450587174,1,2,1,25,0,1,0,0,1,0
-200,4.50799899160484,1,2,1,-50,0,1,0,0,1,0
150,5.12000481736322,-1,2,1,-200,1,0,0,0,1,0
300,4.66800046360004,-1,2,1,150,1,0,0,0,1,0
-25,6.3680021351538,1,2,1,300,0,1,0,0,1,0
0,8.12200054668938,1,2,1,-25,0,1,0,1,0,0
-300,3.82199577664869,1,2,1,0,0,1,0,0,1,0
50,7.06299662899983,-1,2,1,-300,1,0,0,0,1,0
-100,4.57100548422022,1,2,1,50,0,1,0,0,1,0
0,6.64700522791827,-1,2,1,-100,1,0,0,1,0,0
200,3.93900281810784,-1,2,1,0,1,0,0,0,1,0
-150,4.88799694085174,1,2,1,200,0,1,0,0,1,0
-100,7.41700420462439,1,2,1,-150,0,1,0,0,1,0
-25,6.341001120687,1,2,1,-100,0,1,0,0,1,0
50,7.87599855673034,1,2,1,-25,0,1,0,0,0,1
200,4.29099862837757,1,2,1,50,0,1,0,0,0,1
-150,4.57100508832809,1,2,1,200,0,1,0,0,1,0
-300,4.23700252854178,1,2,1,-150,0,1,0,0,1,0
25,6.36300133740588,-1,2,1,-300,1,0,0,0,1,0
0,8.17000246095267,1,2,1,25,0,1,0,1,0,0
300,3.78899707352684,-1,2,1,0,1,0,0,0,1,0
-50,5.19599680530519,1,2,1,300,0,1,0,0,1,0
100,6.20000176560279,-1,2,1,-50,1,0,0,0,1,0
0,7.12499718760955,1,2,1,100,0,1,0,1,0,0
-200,4.08299840783729,1,2,1,0,0,1,0,0,1,0
150,3.71900408851798,-1,2,1,-200,1,0,0,0,1,0
100,4.79199848806456,-1,2,1,150,1,0,0,0,1,0
200,3.64300680136512,-1,2,1,-150,1,0,0,0,1,0
0,7.13100793051126,1,2,1,200,0,1,0,1,0,0
-100,4.26900059282343,1,2,1,0,0,1,0,0,1,0
50,6.96400308918965,-1,2,1,-100,1,0,0,0,1,0
-300,4.24500817000808,1,2,1,50,0,1,0,0,1,0
0,7.39200654649176,1,2,1,-300,0,1,0,1,0,0
-25,7.07500042748143,-1,2,1,0,1,0,0,0,0,1
300,3.53400581383175,-1,2,1,-25,1,0,0,0,1,0
150,3.6830039120905,-1,2,1,300,1,0,0,0,1,0
-200,3.02500706505089,1,2,1,150,0,1,0,0,1,0
-50,5.06800746607769,1,2,1,-200,0,1,0,0,1,0
25,6.97900545573066,1,2,1,-50,0,1,0,0,0,1
100,6.11100418960996,-1,2,1,25,1,0,0,0,1,0
150,4.79200352894986,-1,2,1,100,1,0,0,0,1,0
-200,3.73900925028283,1,2,1,150,0,1,0,0,1,0
0,6.84600217330444,-1,2,1,-200,1,0,0,1,0,0
100,5.31100354981027,-1,2,1,0,1,0,0,0,1,0
-50,7.98100924944447,-1,2,1,100,1,0,0,0,0,1
300,2.67200234413031,-1,2,1,-50,1,0,0,0,1,0
0,6.56300062811351,-1,2,1,300,1,0,0,1,0,0
25,7.0129992870061,-1,2,1,0,1,0,0,0,1,0
-300,2.79600576376833,1,2,1,25,0,1,0,0,1,0
-150,3.89600248848728,1,2,1,-300,0,1,0,0,1,0
200,3.64400111162104,-1,2,1,-150,1,0,0,0,1,0
50,6.47000355052296,-1,2,1,200,1,0,0,0,1,0
-25,6.80100177073473,1,2,1,50,0,1,0,0,1,0
-100,6.15200084519165,1,2,1,-25,0,1,0,0,1,0
-150,4.90000397574477,1,2,1,-100,0,1,0,0,1,0
25,7.22500455748377,1,2,2,100,0,1,0,0,0,1
-50,5.61800706505164,1,2,2,25,0,1,0,0,1,0
-200,3.9730053707317,1,2,2,-50,0,1,0,0,1,0
150,3.54200689649588,-1,2,2,-200,1,0,0,0,1,0
300,3.65000268637959,-1,2,2,150,1,0,0,0,1,0
-25,5.18299911748909,1,2,2,300,0,1,0,0,1,0
0,7.26900125646353,1,2,2,-25,0,1,0,1,0,0
-300,2.91199956774653,1,2,2,0,0,1,0,0,1,0
50,7.92399921405013,1,2,2,-300,0,1,0,0,0,1
-100,5.11100494169659,1,2,2,50,0,1,0,0,1,0
0,6.8919998037818,-1,2,2,-100,1,0,0,1,0,0
200,3.75900737166376,-1,2,2,0,1,0,0,0,1,0
-150,4.0169995665492,1,2,2,200,0,1,0,0,1,0
-100,5.08900153732247,1,2,2,-150,0,1,0,0,1,0
-25,7.17600421869429,-1,2,2,-100,1,0,0,0,0,1
50,7.73200649642968,-1,2,2,-25,1,0,0,0,1,0
200,3.51100293803029,-1,2,2,50,1,0,0,0,1,0
-150,3.93500430262065,1,2,2,200,0,1,0,0,1,0
-300,2.76300096917112,1,2,2,-150,0,1,0,0,1,0
25,7.49900401425111,1,2,2,-300,0,1,0,0,0,1
0,7.57800182521169,-1,2,2,25,1,0,0,1,0,0
300,2.68300420451124,-1,2,2,0,1,0,0,0,1,0
-50,6.86100472187536,1,2,2,300,0,1,0,0,1,0
100,4.77400797366863,-1,2,2,-50,1,0,0,0,1,0
0,6.6799999099967,1,2,2,100,0,1,0,1,0,0
-200,2.90200256049138,1,2,2,0,0,1,0,0,1,0
150,3.44600748502853,-1,2,2,-200,1,0,0,0,1,0
