pertSize,reactionTime,initialResponse
-150,1.69299371552916,1
200,1.03300028968079,-1
0,3.05799580204621,-1
-100,1.55099728083587,1
50,2.5510004625321,-1
-300,1.03100142205221,1
0,3.39399387621961,-1
-25,3.37999720228254,1
300,0.694001791118353,-1
150,1.1609959467678,-1
-200,1.56900215792848,1
-50,2.46199909567804,1
25,3.39699609160743,-1
100,2.40199942886829,-1
150,2.00200061965006,-1
-200,1.21499396169384,1
0,3.53399584555882,1
100,3.26300052201987,-1
-50,3.82399326491577,1
300,0.944999977829866,-1
0,4.71399457920052,-1
25,3.94299618625519,1
-300,0.688999171019532,-1
-150,2.24399965751218,1
200,1.08600092256529,-1
50,3.92299339425517,-1
-25,3.87300007355225,1
-100,2.3610008431715,1
-150,1.40200172209734,1
