pertSize,reactionTime,initialResponse
100,2.2240036238436,-1
25,1.92000817274675,1
-50,2.27100169420009,1
-200,0.576004736423783,1
150,2.85600690269348,-1
300,2.10500826656789,-1
-25,5.01800866198755,-1
0,2.93900929915981,-1
-300,0.491001931310166,1
50,8.25300812780915,1
-100,1.50300389945187,1
0,6.75500699078839,-1
200,1.75700865459658,-1
-150,1.22200001763849,1
-100,2.0600069562206,1
-25,6.52100361299381,1
50,6.38599999856524,-1
200,1.91000633096701,-1
-150,1.03300333178049,1
-300,0.307009201642359,1
25,7.38200114428764,-1
0,4.20300488102657,-1
300,1.74300302481424,-1
-50,5.79200642728392,1
100,2.94900350379612,-1
0,3.59600513958867,-1
-200,0.670008159395366,1
150,1.9900031293655,-1
100,1.78100685906247,-1
